Temperature,Pressure,Altitude,Day,Month,Year,Hour,Minute,Second,Latitude,Longitude,Operator Id,Message Counter,Step Counter,Flags,Position Estimation Inertial Magnetic X,Position Estimation Inertial Magnetic Y,Position Estimation Inertial X,Position Estimation Inertial Y,Position Estimation Inertial Z,Altitude Estimation Pressometer,Latitude Estimation GPS,Longitude Estimation GPS,GPS Estimation Quality,North Alignment Angle Inertial Path,Yaw Drift Inertial Path,CRC-CCITT,thesia_string
27.01,101030.41,24.55,16,8,2024,2,18,9,47.615145,-122.177697,0,0,0,0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0000,000000000000000000000000000000000000000000000000000000000000000000000000
27.03,101032.14,24.41,16,8,2024,2,18,10,47.615156,-122.177714,0,0,0,0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0000,000000000000000000000000000000000000000000000000000000000000000000000000
27.04,101032.39,24.39,16,8,2024,2,18,11,47.615167,-122.177742,0,0,0,0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0000,000000000000000000000000000000000000000000000000000000000000000000000000
27.05,101032.6,24.37,16,8,2024,2,18,11,47.615167,-122.177742,0,0,0,0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0000,000000000000000000000000000000000000000000000000000000000000000000000000
27.07,101033.22,24.32,16,8,2024,2,18,11,47.615167,-122.177742,0,0,0,0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0000,000000000000000000000000000000000000000000000000000000000000000000000000
27.08,101033.67,24.28,16,8,2024,2,18,13,47.615167,-122.177742,0,0,0,0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0000,000000000000000000000000000000000000000000000000000000000000000000000000
27.08,101033.7,24.28,16,8,2024,2,18,14,47.615167,-122.177742,0,0,0,0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0000,000000000000000000000000000000000000000000000000000000000000000000000000
27.09,101033.88,24.26,16,8,2024,2,18,15,47.615167,-122.177742,0,0,0,0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0000,000000000000000000000000000000000000000000000000000000000000000000000000
27.05,101025.11,24.99,16,8,2024,2,18,16,47.615167,-122.177742,0,0,0,0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0000,000000000000000000000000000000000000000000000000000000000000000000000000
27.01,101016.36,25.72,16,8,2024,2,18,17,47.614911,-122.178119,0,0,0,0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0000,000000000000000000000000000000000000000000000000000000000000000000000000
26.98,101009.92,26.26,16,8,2024,2,18,18,47.614847999999995,-122.17790199999999,0,0,0,0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0000,000000000000000000000000000000000000000000000000000000000000000000000000
26.95,101002.88,26.85,16,8,2024,2,18,20,47.614869,-122.17785699999999,0,0,0,0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0000,000000000000000000000000000000000000000000000000000000000000000000000000
26.92,100996.7,27.36,16,8,2024,2,18,21,47.614898,-122.177848,0,0,0,0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0000,000000000000000000000000000000000000000000000000000000000000000000000000
26.9,100992.83,27.69,16,8,2024,2,18,22,47.614929,-122.177854,0,0,0,0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0000,000000000000000000000000000000000000000000000000000000000000000000000000
26.88,100988.08,28.08,16,8,2024,2,18,23,47.614951,-122.17782899999999,0,0,0,0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0000,000000000000000000000000000000000000000000000000000000000000000000000000
26.93,100993.59,27.62,16,8,2024,2,18,24,47.614959999999996,-122.177855,0,0,0,0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0000,000000000000000000000000000000000000000000000000000000000000000000000000
26.97,100998.88,27.18,16,8,2024,2,18,25,47.614968999999995,-122.177886,0,0,0,0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0000,000000000000000000000000000000000000000000000000000000000000000000000000
27.0,101003.77,26.77,16,8,2024,2,18,26,47.614978,-122.17789599999999,0,0,0,0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0000,000000000000000000000000000000000000000000000000000000000000000000000000
27.04,101007.61,26.45,16,8,2024,2,18,27,47.614988,-122.17791199999999,0,0,0,0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0000,000000000000000000000000000000000000000000000000000000000000000000000000
27.06,101010.42,26.22,16,8,2024,2,18,28,47.615004,-122.177915,0,0,0,0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0000,000000000000000000000000000000000000000000000000000000000000000000000000
27.09,101013.78,25.94,16,8,2024,2,18,29,47.615019,-122.177917,0,0,0,0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0000,000000000000000000000000000000000000000000000000000000000000000000000000
27.1,101015.23,25.82,16,8,2024,2,18,30,47.615030999999995,-122.17791199999999,0,0,0,0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0000,000000000000000000000000000000000000000000000000000000000000000000000000
27.13,101017.78,25.6,16,8,2024,2,18,31,47.615038999999996,-122.177911,0,0,0,0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0000,000000000000000000000000000000000000000000000000000000000000000000000000
27.15,101020.1,25.41,16,8,2024,2,18,32,47.615051,-122.17791,0,0,0,0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0000,000000000000000000000000000000000000000000000000000000000000000000000000
27.17,101022.16,25.24,16,8,2024,2,18,33,47.615061999999995,-122.177906,0,0,0,0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0000,000000000000000000000000000000000000000000000000000000000000000000000000
27.15,101016.98,25.67,16,8,2024,2,18,34,47.615077,-122.177906,0,0,0,0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0000,000000000000000000000000000000000000000000000000000000000000000000000000
27.13,101012.23,26.07,16,8,2024,2,18,35,47.615089,-122.177909,0,0,0,0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0000,000000000000000000000000000000000000000000000000000000000000000000000000
27.11,101008.03,26.42,16,8,2024,2,18,36,47.615096,-122.177906,0,0,0,0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0000,000000000000000000000000000000000000000000000000000000000000000000000000
27.1,101004.11,26.75,16,8,2024,2,18,37,47.615103,-122.17790699999999,0,0,0,0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0000,000000000000000000000000000000000000000000000000000000000000000000000000
27.09,101000.33,27.06,16,8,2024,2,18,38,47.615108,-122.17790199999999,0,0,0,0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0000,000000000000000000000000000000000000000000000000000000000000000000000000
27.12,101004.92,26.68,16,8,2024,2,18,39,47.615114999999996,-122.177893,0,0,0,0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0000,000000000000000000000000000000000000000000000000000000000000000000000000
27.15,101008.94,26.34,16,8,2024,2,18,40,47.615119,-122.177889,0,0,0,0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0000,000000000000000000000000000000000000000000000000000000000000000000000000
27.18,101012.42,26.05,16,8,2024,2,18,41,47.615126,-122.177888,0,0,0,0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0000,000000000000000000000000000000000000000000000000000000000000000000000000
27.2,101015.34,25.81,16,8,2024,2,18,42,47.61513,-122.177886,0,0,0,0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0000,000000000000000000000000000000000000000000000000000000000000000000000000
27.23,101018.22,25.57,16,8,2024,2,18,43,47.615133,-122.17788499999999,89,0,0,0079,0.0,0.0,0.0,0.0,0.0,6538.9,0.0,0.0,0,0.0,0.0,C365,59000000000079000000000000000000000000FF6D00000000000000000000000000C365
27.25,101020.88,25.35,16,8,2024,2,18,44,47.615137,-122.177888,89,1,0,0079,0.0,0.0,0.0,0.0,0.0,6541.1,0.0,0.0,0,0.0,0.0,96B4,59000100000079000000000000000000000000FF830000000000000000000000000096B4
27.27,101023.36,25.14,16,8,2024,2,18,45,47.615142,-122.177894,89,2,0,0079,0.0,0.0,0.0,0.0,0.0,6545.0,0.0,0.0,0,0.0,0.0,54A0,59000200000079000000000000000000000000FFAA0000000000000000000000000054A0
27.28,101024.38,25.05,16,8,2024,2,18,46,47.615148999999995,-122.177889,89,3,0,0079,0.0,0.0,0.0,0.0,0.0,6546.3,0.0,0.0,0,0.0,0.0,9652,59000300000079000000000000000000000000FFB7000000000000000000000000009652
27.3,101025.84,24.93,16,8,2024,2,18,47,47.615156999999996,-122.177887,89,4,0,0079,0.0,0.0,0.0,0.0,0.0,6545.9,0.0,0.0,0,0.0,0.0,B83E,59000400000079000000000000000000000000FFB300000000000000000000000000B83E
27.32,101027.12,24.83,16,8,2024,2,18,48,47.615156999999996,-122.17787999999999,89,5,0,0079,0.0,0.0,0.0,0.0,0.0,6547.1,0.0,0.0,0,0.0,0.0,28DA,59000500000079000000000000000000000000FFBF0000000000000000000000000028DA
27.3,101022.2,25.24,16,8,2024,2,18,49,47.615154,-122.177882,89,6,0,0079,0.0,0.0,0.0,0.0,0.0,6544.9,0.0,0.0,0,0.0,0.0,7386,59000600000079000000000000000000000000FFA9000000000000000000000000007386
27.27,101015.37,25.81,16,8,2024,2,18,50,47.615156,-122.17788499999999,89,7,0,0079,0.0,0.0,0.0,0.0,0.0,6548.8,0.0,0.0,0,0.0,0.0,68E8,59000700000079000000000000000000000000FFD00000000000000000000000000068E8
27.25,101010.29,26.23,16,8,2024,2,18,51,47.615154999999994,-122.177887,89,8,0,0079,0.0,0.0,0.0,0.0,0.0,6550.0,0.0,0.0,0,0.0,0.0,70B0,59000800000079000000000000000000000000FFDC0000000000000000000000000070B0
27.24,101008.08,26.41,16,8,2024,2,18,52,47.615154999999994,-122.177889,89,9,0,0079,0.0,0.0,0.0,0.0,0.0,6548.8,0.0,0.0,0,0.0,0.0,9F00,59000900000079000000000000000000000000FFD0000000000000000000000000009F00
